Nr Camere,Suprafata,Etaj,Total Etaje,Sector,Scor,Pret
2,37.4,1,1,6,4,35600
2,49,3,4,6,4,60999
3,70,2,5,1,1,89953
4,142,1,2,1,2,135000
2,48,0,8,6,4,59500
3,86,2,3,2,2,125000
3,76,1,2,1,2,98000
3,69,8,10,6,4,60000
1,44,1,8,5,1,47000
3,88,2,2,1,4,135000
2,58,0,5,1,1,85000
3,78,6,8,3,2,130000
3,103,1,5,1,1,84500
2,46.31,6,11,4,5,50500
2,55,0,4,1,1,99000
2,58,0,3,6,5,84000
3,62,1,4,1,4,79000
3,77,2,5,1,4,68500
3,70,0,5,2,3,56900
3,90,1,5,6,4,125000
2,54,1,5,2,3,94000
2,50.97,2,3,1,1,91000
2,64,0,5,2,3,56000
2,45,1,6,1,1,66500
2,37,1,3,1,2,63000
2,50,5,6,4,5,45000
2,55,3,3,1,4,83000
2,53.5,1,4,2,3,73200
2,47,0,2,1,2,84000
3,79,1,10,4,2,97500
2,72,1,1,2,2,56850
1,29,0,9,6,4,36900
3,72,9,10,3,4,92200
2,63,2,4,3,4,51900
4,116,5,6,1,1,280000
2,49,5,10,3,4,57000
1,40,3,8,5,1,51000
3,70,5,8,6,5,82000
3,70,2,4,1,1,130000
2,78,1,5,2,2,147000
3,123,4,6,1,1,300000
3,78,8,8,3,4,99900
3,70,0,4,6,4,74990
2,52,1,7,1,2,62000
2,61,1,5,4,5,58900
2,50,4,10,4,5,49500
1,39,1,1,2,2,43000
4,121,2,3,2,2,190596
1,40.05,9,11,1,4,62000
3,100.12,0,17,2,3,115000
3,102,2,3,1,1,109000
3,75.75,2,4,1,1,126139
2,50,2,4,4,5,60000
3,70,0,7,6,4,65000
2,82,2,16,2,1,130000
3,78,3,8,3,2,149000
3,77,7,10,6,5,95000
2,45,2,4,4,5,38000
3,69,7,8,5,1,146000
2,40,-1,2,3,4,29150
4,98,5,11,2,5,80000
2,47,8,11,3,4,68500
3,64,6,10,2,5,78900
3,118.56,12,13,1,1,340000
3,113,4,5,1,1,250000
2,64,2,9,1,1,72400
3,117,10,11,3,4,179900
2,51,2,2,6,4,52000
4,95,2,8,3,4,125000
3,66,5,8,3,4,79000
2,65,6,7,1,1,113000
3,86,2,9,1,1,168000
1,31,10,10,4,2,45000
4,97,2,5,3,2,210000
3,100,2,2,3,2,160000
1,45.69,1,3,1,2,80824
2,60,0,8,4,5,78900
3,72,7,8,3,4,98000
2,50,2,2,4,2,79900
2,60,4,4,3,4,53500
2,57,8,8,2,3,59499
3,88,10,11,3,2,150000
3,70,7,9,4,5,79000
3,78,2,3,1,1,99000
4,170,15,17,3,2,239000
3,98,2,3,2,3,104000
2,50,6,9,3,4,56800
4,93,0,8,4,5,119000
2,52,0,5,6,4,61000
2,58,8,8,3,4,79500
3,86,1,5,1,4,110000
2,70,1,7,3,2,170000
3,67,4,8,5,1,110000
3,63,9,11,1,1,91000
3,70,4,8,6,4,73000
2,62,2,3,2,3,84630
2,106,0,3,4,5,110000
2,63,3,3,1,1,93000
3,74,3,4,1,2,112000
2,72,1,3,2,2,69000
2,42,3,3,1,4,68000
2,64,2,6,1,1,140000
2,44,2,5,4,5,37500
2,50,6,10,6,4,48000
3,61,0,7,6,4,56425
3,79,0,3,1,2,150000
1,32,1,10,3,4,57000
1,44,0,3,1,2,59000
3,66,0,1,1,2,135000
1,44,1,3,4,5,54990
4,107,1,7,2,3,85620
3,72,6,6,1,2,140000
2,70,3,3,3,4,76500
3,77,1,3,6,4,70000
3,77,5,8,3,4,85000
3,111.45,5,5,1,1,260000
4,180,10,10,5,1,254000
3,82,1,3,1,4,91500
1,32,0,3,2,1,54900
4,102,7,8,3,2,168000
3,85,2,4,2,3,85000
2,68,7,16,2,1,118000
3,98,3,3,1,4,138000
1,41,5,5,4,5,31000
2,75,4,5,1,2,125539
2,62,3,3,6,5,85000
2,74.6,2,10,1,2,95000
2,58,1,4,6,4,56000
4,140,0,2,1,1,245000
3,64,0,4,6,4,68500
4,92,8,8,5,1,138000
1,41,7,8,5,1,46000
2,48,7,10,3,4,62000
2,57,3,3,2,3,75672
2,64.25,1,2,3,4,90000
2,60,4,8,3,2,99000
2,53,2,4,6,4,42000
3,64,1,4,3,4,73000
2,58.19,2,5,1,1,123043
4,174,3,5,1,1,475000
2,51,3,4,1,1,74500
3,70.35,2,3,3,2,114900
2,59.67,1,4,1,4,70900
3,77,0,4,4,5,82500
3,80,7,8,2,3,109000
2,40,0,3,3,4,30000
2,46,0,7,6,4,35900
2,57,1,4,2,3,47900
2,39,0,2,3,4,30000
3,68.8,0,3,2,3,130000
2,59,2,5,4,5,46500
3,70.35,2,3,3,2,114900
3,116,1,2,4,5,125000
2,54,1,4,4,5,58425
1,29,0,6,6,4,23500
1,39,1,2,3,4,48300
2,46.94,8,10,3,4,68000
3,92,3,11,3,5,108888
2,53.5,1,4,2,2,79000
3,80,3,5,1,2,138999
2,55,2,9,3,4,71800
2,52,2,3,3,4,48000
4,93,6,9,2,2,110950
3,70,3,10,2,3,77900
3,110,2,3,1,2,125000
5,198.5,5,5,1,1,435000
3,112,2,6,1,1,269000
2,46,2,5,4,5,53000
3,85.04,4,11,1,1,148000
3,69,3,3,1,4,96500
2,57,1,3,2,3,97999
3,89.81,7,7,2,5,73715
2,54,2,4,2,3,103000
3,80,1,6,1,2,211000
3,62,3,4,3,4,83500
3,70,2,4,3,4,112000
3,82,2,8,6,4,99500
2,63.4,5,7,1,2,133840
1,34,2,3,3,4,36000
3,71,1,6,5,1,99900
3,70,10,11,3,4,79900
2,54,3,4,4,5,59900
2,55,8,10,6,4,53500
2,64.87,6,7,2,5,56000
4,115,0,1,1,1,112900
1,45,0,5,5,5,46200
2,53,2,9,5,1,68500
3,70,3,8,2,1,105000
2,64,0,6,3,4,101900
2,42,4,8,1,1,63000
2,58.67,5,11,1,1,95000
3,75,6,8,6,4,85000
4,98,4,9,3,4,145000
1,38,7,8,2,2,61000
3,87,5,9,3,4,126500
2,60,3,3,1,2,78599
2,55,10,10,6,4,50000
2,60,6,9,2,2,120000
2,49.1,1,3,2,3,76100
4,124,1,3,1,1,210000
2,50,4,4,1,1,119000
3,63,1,4,3,4,58750
3,92,2,4,2,2,108000
2,65.9,3,5,5,1,82375
3,58,2,4,3,4,85000
2,56.1,5,10,1,1,112943
1,67,4,4,1,1,55845
4,64,9,10,6,4,63000
1,43,3,11,6,5,53512
1,36,-1,4,3,2,50000
2,50,2,9,1,1,99750
2,73.85,1,3,1,2,117147
4,195.22,1,4,1,1,280000
2,56,7,10,3,4,58900
2,51.04,1,3,6,4,41800
3,72,4,4,1,2,99000
2,53,7,11,3,4,69900
3,73,8,9,6,5,73000
3,65,2,2,6,4,62500
1,43,1,11,6,5,55952
2,57,2,3,4,5,63000
2,60,6,9,1,2,144900
1,31,3,7,6,4,25000
4,86,7,8,6,5,87000
3,103,2,7,2,2,230000
3,62,0,4,3,4,87000
3,102,0,6,6,4,89000
1,43,1,4,2,3,42000
3,80,3,11,4,5,74990
3,61,4,5,3,4,91000
2,54,2,4,3,4,51100
3,60,2,4,1,4,73900
4,112,7,9,3,2,199000
2,52,1,5,3,4,82000
1,31,8,10,3,4,43000
2,65,1,3,2,3,59000
3,70,3,5,1,1,91683
3,100,0,7,6,4,74000
1,37,0,3,3,4,34900
2,58,1,3,6,4,47500
2,61,2,8,6,4,76000
1,37,4,10,2,3,72000
3,65,4,8,3,4,89900
2,46,2,3,1,2,57000
4,147,0,10,1,1,240000
4,119,5,6,1,2,237000
4,110.64,5,7,1,2,222450
3,70.5,1,7,4,5,69500
5,213,3,4,3,2,219000
2,56,8,10,6,4,78500
3,80,10,10,1,2,100000
2,78,4,7,3,2,155000
3,80,1,8,3,2,148000
1,37,5,5,4,5,38000
4,62,3,10,6,4,60000
5,135,4,7,1,2,160000
4,83,7,10,2,3,105990
2,54.35,0,11,2,1,130000
3,93,1,3,2,3,84900
2,48.35,4,4,6,4,53500
2,54.2,5,11,2,1,99000
2,64.76,3,8,1,2,85483
1,30,2,8,5,1,55000
3,93,1,4,1,1,111000
4,190,1,2,1,1,220000
3,64,6,8,3,2,130000
2,56,9,10,2,5,63000
3,88,2,4,1,1,120000
2,69,9,12,3,2,114650
2,48,3,4,6,4,58000
3,70,1,3,2,1,125000
2,40,3,3,6,4,38000
2,60.19,6,8,1,1,129980
2,62,4,4,3,4,83500
4,130,6,10,3,2,235000
2,67,4,6,3,4,101000
4,100,4,4,1,2,180000
2,59.85,3,11,2,5,79500
2,70,3,5,1,1,69900
3,70,3,8,5,1,115000
3,75,2,4,4,5,55650
3,88.79,1,7,2,5,72760
3,87.5,5,6,4,5,63900
3,77,1,5,4,5,74000
3,89.81,7,7,2,5,73715
2,60.25,10,11,2,5,79500
1,39,1,5,4,5,33500
2,59,2,4,6,4,57000
3,80,1,3,2,3,116500
3,88,3,9,4,2,125000
3,70.44,6,10,1,1,160000
2,45,1,2,4,2,73700
3,74.95,13,14,6,4,66957
2,64.87,7,7,2,5,56000
3,78.54,1,11,1,1,178000
3,89.01,4,11,1,1,89200
1,35,1,1,6,4,27900
2,52,3,11,4,5,50500
3,70.9,0,7,1,1,108131
3,64.75,0,2,1,2,85500
2,52.81,2,11,4,5,65000
2,64.87,4,7,2,5,56953
2,67,2,3,6,4,59950
2,50,1,8,6,4,42500
2,40,1,2,1,1,89900
1,34.4,1,3,2,3,35300
2,51.54,8,9,3,4,68500
2,116,5,6,1,1,280000
3,73.06,2,8,3,2,120000
3,75,3,8,3,4,97000
3,81.2,1,4,1,4,92900
3,83,5,6,5,5,62500
2,57,7,8,6,5,50000
3,59,0,8,3,4,66600
3,73,9,11,2,3,103000
3,69,6,10,2,3,66999
2,91,6,6,4,5,95000
2,46,2,3,3,4,43000
2,60,0,11,2,3,72100
3,70.17,4,4,1,4,86900
2,63,6,7,3,4,87000
3,96.19,1,7,1,2,187680
4,85,8,10,5,5,84500
1,33,2,7,4,5,30000
3,75,3,5,6,4,58000
2,49,3,11,3,4,71300
2,51,2,4,1,2,65000
1,37,0,3,3,4,40272
3,78,7,8,5,5,86900
4,84,10,10,2,3,105000
2,75,1,3,1,2,85000
1,36,0,8,6,4,45000
2,54,5,10,6,4,65000
2,54,2,3,1,4,61500
3,67,7,8,4,5,85000
2,56,10,11,6,4,99000
4,63,5,5,6,4,65000
3,90,5,16,2,3,100000
3,60,4,10,6,4,65000
2,56,4,8,2,3,73000
2,65.75,1,11,1,1,145500
3,62,1,4,1,1,79000
2,53.2,2,11,4,2,99400
1,40,4,8,3,2,66600
1,32,3,3,1,1,56900
3,101,7,8,1,1,195000
3,98,3,4,1,1,228000
2,60,6,6,1,1,80000
2,52.8,1,16,1,1,129000
1,34.2,1,3,2,3,53010
2,47,2,5,4,5,54800
2,44,0,4,4,5,49900
2,44,1,11,4,5,47000
2,53,3,9,1,1,65700
3,88,2,9,1,1,102300
4,173.31,1,11,1,1,400000
4,130.95,4,6,1,1,295000
3,75,1,2,2,3,63750
2,93.3,5,5,2,3,70479
2,48,3,6,1,1,109633
2,63,0,3,3,4,68500
3,89.5,2,3,1,1,123500
1,35.55,1,5,2,3,33860
2,49,3,6,6,4,65000
1,34,1,3,4,5,49500
1,37,0,3,3,4,40272
2,57,1,4,3,4,51100
2,46.15,1,5,2,3,43950
3,96,3,4,2,3,73900
1,37,0,3,3,4,40272
2,55.4,1,1,6,4,47100
2,56,2,4,4,5,59999
2,43,3,4,3,4,73100
2,64.87,1,7,2,5,56953
2,60,0,11,2,3,72100
4,150,6,6,1,1,349900
4,133,1,4,3,2,132000
2,56.8,1,4,4,5,48564
2,60,0,10,2,5,72100
4,81.5,0,8,5,5,76999
1,33,1,5,4,5,28500
2,73,9,9,3,4,96000
2,59.75,7,11,2,5,79500
1,46,3,3,2,2,64204
3,100,4,5,1,2,159000
2,54.93,2,3,2,3,61020
2,52,8,8,6,4,52700
3,108,10,11,1,1,108300
2,70,3,3,1,4,78500
1,37.19,5,7,1,1,60825
2,60,5,5,6,4,57000
2,52.4,1,4,6,4,41850
3,53,2,4,3,4,54200
2,50,6,6,6,4,45000
2,51.8,2,11,3,2,99400
2,70,1,5,1,1,190000
2,56,3,3,6,4,49999
3,67,2,11,4,5,83000
8,200,0,2,1,2,229000
4,90.29,4,10,2,3,84999
2,44.8,1,10,1,1,92000
2,64.87,5,7,2,3,56000
3,54.77,5,8,1,2,49900
2,64.55,1,5,3,2,80687
3,88.79,4,7,2,5,72760
2,52,2,10,6,4,52500
2,62,1,8,2,2,124000
2,51,6,6,1,1,62590
3,85,0,2,1,2,115000
2,55,5,12,3,2,92183
1,40,3,8,5,1,51600
3,110,2,8,2,2,125000
2,56,3,4,1,2,100000
3,74,3,3,2,2,102200
2,43,2,3,1,1,112000
2,53,6,8,5,5,55000
3,82,4,8,3,2,150000
2,63.24,2,6,1,1,125000
2,56,2,11,6,4,83000
2,64,2,3,1,1,132000
2,39.4,3,5,6,4,33155
2,53,1,5,3,4,45000
2,64.55,3,5,3,2,80687
3,89.81,6,7,2,5,73715
3,80.4,6,9,1,1,114000
4,125,0,5,1,2,319500
4,122,1,4,1,1,299000
2,63,1,10,2,3,110000
2,60,8,8,3,4,79900
2,46,5,7,1,1,67500
3,79,0,9,6,4,69900
3,64,7,10,2,5,58900
2,60,13,17,4,2,120000
4,88,4,9,6,5,96000
3,66,3,3,1,4,74900
3,100,5,6,1,2,233000
3,88.79,3,7,2,5,72760
2,53,4,10,2,1,97100
2,64.87,4,7,2,3,56953
3,65,6,10,6,4,59000
1,34,3,3,2,2,63000
2,44,1,5,4,5,37500
2,56,1,2,1,1,59000
2,47.15,1,4,3,4,73083
3,89.81,2,7,2,3,73715
2,60,1,8,6,4,44900
3,73,10,10,2,5,59000
2,54,4,6,6,4,51000
3,80,0,11,6,4,67900
2,51.14,6,8,1,1,71916
2,51,3,10,4,5,58000
3,67,0,11,1,1,95105
3,70.19,3,5,1,1,140384
3,82,8,8,5,1,91500
2,51,4,4,1,4,59900
3,72,4,8,5,5,84000
2,50,0,5,3,4,76600
2,60.14,0,9,6,4,67143
3,63,0,3,2,3,53300
2,43.5,2,5,1,4,50260
2,61,1,11,2,1,141500
4,98,5,8,5,1,102000
1,46,3,3,2,3,64204
2,45,1,3,4,5,62260
2,64,3,11,6,4,54990
3,73.04,0,5,5,1,135000
3,73,4,8,5,1,93600
3,110,4,4,1,1,225000
2,43.4,1,11,4,2,89400
1,34,1,3,4,5,37000
2,54.35,0,11,1,1,130000
7,264,12,12,6,4,320000
3,80,4,11,6,4,69500
3,66,2,10,4,5,74000
3,85,3,8,2,2,195000
2,55,1,2,3,4,57700
3,70.29,0,9,6,4,81805
1,30,1,3,4,5,36500
2,55.71,8,10,6,4,77500
4,123,2,3,3,2,255000
2,51.86,0,2,1,4,94300
2,56.3,10,11,2,5,75000
3,57,7,7,1,2,47000
3,95.61,5,6,3,2,152976
4,100,8,8,3,4,125000
2,60,3,4,1,1,118900
3,144.88,0,8,1,1,329000
3,77,4,5,1,2,137500
2,56.18,11,11,2,5,69000
4,85,4,4,4,5,58000
4,105,4,6,1,2,222000
3,82,3,5,2,3,74000
2,60,1,4,3,4,65000
3,69.54,6,11,4,5,75000
4,98,1,4,6,4,88000
3,85,3,8,5,5,79900
2,61,4,7,3,2,139000
2,51,0,3,4,5,48000
2,52,4,4,1,2,65900
2,68,4,4,6,4,51500
3,62,1,6,4,5,58700
1,36,3,4,3,4,35500
3,84,2,5,1,2,175000
3,86,3,6,6,4,71000
1,45,5,12,4,2,73983
4,141,1,3,1,1,385000
2,47,4,11,6,5,64181
3,64,4,4,3,4,69500
2,75.49,10,14,6,4,64921
2,56,1,3,1,1,85000
2,55,3,3,4,5,55000
3,138,1,2,4,5,79000
4,85,1,4,6,4,84990
2,50,3,5,6,5,55500
3,113,1,2,2,3,150000
6,211,3,3,1,2,280000
1,42,8,10,3,2,53500
3,80,4,7,3,2,139000
3,68,6,10,2,3,68000
2,55,9,11,2,2,59500
2,53,4,7,4,5,57000
2,52,7,10,6,4,53000
3,69,2,4,3,4,66000
5,164,1,5,1,1,400000
4,145,7,7,1,2,246700
2,65,2,8,6,4,64310
3,84,1,5,1,2,133820
1,46,3,3,2,3,64204
2,61,1,4,2,3,51200
2,50,1,4,1,1,81900
2,69.7,6,8,6,4,66492
1,34,1,5,6,5,45900
4,95,0,2,3,2,125000
2,50.45,7,10,2,5,57400
3,67,2,11,4,5,83000
3,107.13,1,5,5,1,133912
1,33,1,5,5,5,27950
2,56,2,3,3,4,55530
1,35,3,5,3,4,33400
3,78.6,2,8,6,4,75000
2,75,4,5,1,1,125539
2,60,9,9,3,4,78300
2,60,4,10,5,5,53900
2,80.22,2,12,1,2,145000
3,63,7,8,3,4,92000
4,143,5,5,2,3,91200
2,60,1,5,2,3,56000
1,32,0,5,3,4,37050
2,70,3,6,5,5,49600
3,86,2,5,3,4,78600
1,37,5,11,3,4,51905
2,42.77,1,10,1,2,85000
2,50,2,8,6,4,59000
3,88,15,17,1,4,115000
3,89.81,7,7,2,5,73715
2,51,1,5,6,4,44500
4,101,1,1,1,2,160000
2,47,3,8,2,2,119900
3,70,2,8,2,3,88000
2,80,2,16,2,1,130000
4,110.1,2,11,4,2,185000
3,114.2,6,6,3,2,182720
3,80,5,11,2,1,140000
2,68,2,8,2,1,197635
2,67.2,4,6,3,2,107520
3,97,10,16,2,1,165000
3,89.81,2,7,2,5,73715
2,60,6,9,1,2,160000
3,81.85,0,11,6,4,96000
4,127,2,3,1,2,246400
3,76.62,1,3,1,1,118417
2,59,2,4,1,4,71400
2,64,6,8,1,1,125000
2,53,2,11,6,4,73000
2,50,3,4,1,4,59900
2,53,4,10,4,5,56000
2,57,0,1,2,3,57500
3,145,5,5,3,4,245000
2,94,6,14,2,1,179000
1,37,1,8,1,2,76930
3,71.54,2,4,1,2,89952
1,37,7,9,6,4,47990
3,70,3,5,1,1,92715
2,52,1,5,3,4,82000
2,52.61,1,11,1,1,68700
2,53,5,10,6,4,57400
2,57,4,4,5,5,60300
2,59.5,3,11,6,4,67800
2,64,2,8,3,2,114500
3,60,0,3,5,5,72000
1,43.2,1,7,1,2,73815
3,60.54,8,10,1,1,159999
2,40,0,4,3,4,37900
2,51.3,10,11,6,4,99000
9,240,4,4,2,2,320000
2,51.67,5,7,1,2,102040
2,68,3,5,4,5,62500
3,73.5,3,4,1,4,92400
3,64,4,4,6,4,56000
2,56.45,8,11,2,5,73000
3,80,3,10,3,4,80000
1,42,1,6,2,3,40999
4,87.5,6,7,1,2,179835
2,60,0,10,2,5,72100
3,93,1,3,1,1,195000
2,45,5,6,2,3,53000
1,36.56,0,10,3,4,52500
2,48,1,4,3,4,44500
3,92.06,1,3,1,1,145927
1,47.19,5,6,3,2,87302
2,64,2,3,3,4,57500
3,95,2,9,4,2,125000
3,81,2,10,3,4,123000
3,71,2,11,6,5,95105
2,52.67,0,6,6,4,44500
2,60,2,3,2,3,52400
2,50,0,5,3,4,76600
2,48.53,0,4,1,1,93000
3,103,3,12,1,1,260400
2,55.05,2,11,2,5,75000
1,53.3,6,12,1,2,106451
3,123,1,2,1,1,219000
2,57,7,10,6,4,61900
2,51,1,3,1,1,80000
2,51.5,0,4,1,4,65400
1,30,5,5,6,4,25500
2,63.72,2,4,1,1,116700
2,58,2,5,4,5,53000
3,84,2,7,4,2,169000
2,52,0,2,2,3,63500
2,58.95,0,2,2,3,99000
2,61,4,4,1,1,89990
2,64,2,7,4,2,94000
3,83,2,5,1,1,145000
2,67,3,3,3,4,44850
2,52,4,12,1,2,103000
3,68.88,-1,11,6,4,88000
2,87,4,6,4,2,130000
2,54,1,3,6,4,42500
2,53,6,8,6,4,55000
4,84,4,7,1,1,96000
3,75,1,8,3,2,170000
2,56.3,6,11,2,5,75000
2,53,8,10,3,4,62000
1,16,0,4,3,4,19900
2,75.49,10,14,6,4,64921
2,64.32,0,6,6,4,67536
2,57,0,3,6,4,40000
2,47.57,0,6,6,4,40500
2,62,2,12,4,2,92160
1,35,2,3,6,4,28500
2,48,8,10,1,2,83000
3,79.15,2,3,2,2,114550
3,80,3,3,4,5,125000
3,76,2,9,4,5,72000
2,37,1,4,5,5,35600
1,38.7,2,11,6,4,48500
3,72.1,1,11,2,5,103000
2,56,6,8,4,2,83990
2,62,1,3,4,5,62000
1,28,2,3,2,2,59000
3,90,14,24,2,3,127000
2,64,3,8,3,2,128000
3,86,5,5,1,2,170000
2,50,2,3,1,1,71000
4,81,2,4,6,4,85000
3,89.81,5,7,2,5,73715
2,48,1,2,3,4,48000
2,55,2,7,4,5,48000
1,35,10,10,6,4,35000
2,56,4,4,3,2,89900
1,37,1,9,1,1,43500
2,51,3,4,1,4,92000
1,39,5,6,3,2,75500
1,30,1,5,4,5,36000
4,75,1,8,3,4,119000
4,145,3,4,1,1,328000
2,58,2,3,3,4,44950
2,55,1,3,6,4,45000
3,100,4,5,1,2,130000
3,90,3,4,1,1,149000
2,49,2,7,4,5,43000
2,52,10,10,6,4,55000
3,67,0,3,1,4,110000
3,116,1,2,4,5,125000
2,62,2,4,2,3,53610
2,48,0,10,6,4,62000
3,60,1,1,1,1,105000
3,78.3,4,6,3,4,114000
3,70.9,0,7,1,1,108131
1,34,3,3,2,3,63000
2,52.2,3,11,1,2,103000
2,64.17,1,4,6,4,59000
2,57,1,4,3,4,62000
2,53,13,14,1,2,88000
2,40,0,6,6,4,39900
2,45,0,3,4,5,86500
2,54.55,0,11,2,5,83000
3,76.62,1,3,1,2,118417
3,74,4,5,1,2,127500
1,42,0,4,6,1,49200
2,50,4,7,5,5,57000
2,47,4,4,4,5,37500
1,32,1,3,4,5,47000
2,64.87,3,7,2,3,56953
3,82,3,6,1,1,169000
4,129,2,6,1,2,180000
2,54,3,10,6,5,70000
3,81,2,7,1,2,149080
2,56,1,2,1,2,84900
3,83,2,4,1,2,189000
1,32,0,4,6,4,41000
1,41,6,10,3,4,52000
3,65,1,4,6,4,50000
3,85,2,5,3,2,144500
2,53,0,8,3,4,79900
3,60,3,4,3,4,67000
2,53,0,5,1,2,76680
3,120,8,9,6,4,145000
4,85,0,8,5,5,74000
1,42,0,6,1,1,74500
1,23,3,4,1,1,34000
1,39,1,2,3,4,48300
2,71,5,5,6,4,84000
3,93,4,5,1,2,175000
3,84,5,6,2,1,170000
3,70,5,7,1,2,145000
3,91,2,6,1,1,174999
3,78,1,7,3,4,88000
1,30.5,2,6,2,2,47000
2,42,2,5,4,5,42500
3,64,9,10,1,4,77000
2,67.19,1,6,1,2,87350
3,75,3,4,3,4,86300
4,95,3,5,1,2,170000
2,56.5,1,5,1,2,113000
2,58.26,0,5,1,1,75000
2,54.3,1,11,1,1,118500
2,37,4,4,4,5,35900
2,60,2,6,3,4,49500
3,70,5,8,2,5,65000
3,87,17,18,1,4,110000
4,110.1,2,11,3,2,185000
1,41.34,4,6,3,2,73140
2,57,3,5,4,5,59000
1,27,3,3,2,2,59000
2,55,3,8,1,1,74000
3,70,4,5,2,3,135000
3,80,5,5,4,5,73000
2,56,0,4,4,5,58400
3,107,3,5,1,2,160000
2,47,2,4,4,5,52000
2,65,8,9,3,2,185000
3,55,5,6,1,2,85000
2,58.5,5,6,1,2,76050
2,64.74,3,4,1,2,115053
3,74,1,8,2,3,89000
2,64.74,3,4,1,1,115053
1,32.9,5,6,3,2,69900
4,87.46,2,3,2,2,214148
1,24.6,7,11,3,4,32000
3,63.41,3,3,1,1,125000
2,56.75,1,5,4,5,55386
4,81,0,4,1,2,111247
5,124,2,5,1,2,190000
4,100,4,5,1,2,185000
4,158.24,5,8,1,1,335000
2,65,1,4,4,5,69000
2,55,2,3,4,5,59000
2,64.87,6,7,2,5,56000
4,112.23,8,15,2,3,220000
3,74,5,5,4,5,74000
2,55,5,9,3,4,79800
2,64.87,3,7,2,3,56953
2,46,1,11,6,4,61078
4,90,2,5,1,2,86000
2,72.5,6,7,2,3,79750
3,77.51,5,7,1,2,160050
1,39,0,8,5,1,46500
2,54,3,9,5,5,65400
2,60,2,8,3,4,74600
1,36,6,9,6,4,36700
2,51,5,10,4,5,50500
2,55,1,3,2,3,46500
2,73,1,1,1,1,120000
3,71.1,0,11,2,5,110700
2,52,3,3,4,5,54900
2,57,0,10,2,5,66300
2,65.9,3,5,5,1,82375
3,230,6,6,1,1,450000
1,43,8,8,5,5,43500
2,36,1,4,4,5,43500
3,75,6,7,1,1,125000
3,92.23,5,5,1,2,132000
2,60,4,8,5,1,79500
2,55,5,8,2,3,92500
3,65,1,11,3,4,93250
1,38,1,3,3,4,35100
2,54,1,3,3,4,54100
2,56,2,4,3,4,52600
2,74,2,3,1,1,126000
2,48.37,3,5,6,4,40375
2,39.4,3,5,6,4,33155
2,53,1,4,1,2,58300
3,97,3,13,1,4,120000
3,80,4,11,4,5,74000
3,90.5,4,6,3,4,137000
3,88.62,4,8,1,1,169000
2,56,5,8,5,1,89000
3,73,3,7,3,2,169000
2,38,2,6,1,1,49700
2,53,3,11,4,5,55000
3,84,2,4,3,4,71904
3,80,3,6,3,4,113980
3,85,2,9,3,4,80000
3,88,1,6,1,2,172000
1,36,4,4,5,5,32850
3,71,3,5,1,2,89953
1,35,1,3,4,5,37000
3,64.45,4,11,2,5,103000
3,85,1,8,1,2,145000
3,66,1,8,5,5,77100
1,38,2,8,1,2,90000
2,46,7,7,1,1,79000
2,52,3,8,4,2,83000
2,61,1,3,3,4,81000
3,87,0,3,2,3,160000
4,82,1,11,3,4,116000
2,70,3,3,1,4,60999
3,70,1,4,3,4,73500
3,96.1,5,6,1,2,199000
4,121,7,7,5,1,138500
2,45,1,6,1,2,67000
3,114,3,5,1,2,179000
3,77,2,4,3,4,67500
2,58,2,5,6,4,47523
1,30,2,4,2,3,48300
2,65,0,7,1,1,99000
2,63,9,11,3,4,105000
2,60.4,1,4,6,4,58000
3,87.7,10,11,2,1,145000
2,45,2,3,3,4,48000
3,95.6,10,11,2,1,140000
2,58.5,1,9,2,1,118440
4,121,2,3,2,2,190596
3,72,2,4,1,2,68000
2,48,2,3,3,4,54800
2,50,2,5,6,4,41900
2,46,9,10,3,4,56300
2,78,1,4,4,5,64030
3,121,0,1,2,2,225000
2,43.4,8,11,4,2,97800
3,69,1,3,4,5,79500
3,70.9,3,7,1,1,106257
2,67,5,6,1,2,90600
2,59,2,7,1,2,105574
2,57,9,10,2,2,80950
2,50,2,8,1,2,62000
2,56,3,5,4,5,41500
3,71.36,2,4,1,2,120131
2,57,0,3,2,5,79540
2,54.3,1,11,2,1,118500
2,55,1,3,3,2,95200
3,85,5,7,4,5,73000
1,35.44,0,2,4,5,35900
1,38.7,2,5,4,5,35500
3,87,0,5,1,1,149900
2,57,5,10,4,5,57000
4,96,7,8,3,2,139000
3,65,1,11,2,5,93250
4,100,6,8,3,2,167000
2,51,3,4,5,5,49900
2,50,7,10,4,2,82000
2,97,1,6,5,5,81600
2,54,1,2,2,3,98000
2,58,5,7,3,2,105000
4,145,3,4,1,1,328000
3,133,0,2,1,4,147900
2,65.9,3,5,5,1,80688
2,40,6,11,6,4,55544
2,55,5,9,3,4,75411
2,46,2,3,1,2,57000
1,33,1,6,4,5,28500
2,50,2,9,1,1,59000
3,89.81,6,7,2,3,73715
2,52,1,11,4,5,50500
1,39,7,8,1,2,74000
1,31,2,3,4,5,27300
3,115.81,0,5,1,1,295000
4,100,6,8,1,2,150000
2,40,8,17,3,2,64000
3,86,2,3,2,3,125000
3,129,1,3,2,2,135000
4,161,1,5,1,1,405000
4,114,5,7,2,2,139000
2,55,1,5,6,4,55000
2,70,0,3,1,2,122900
2,72,6,10,3,4,122900
3,120,5,13,1,1,330000
3,65,0,4,1,4,106000
2,40,5,10,4,5,44999
1,35,4,10,2,3,46500
1,43,5,11,6,4,53512
3,70,3,4,6,5,89900
