Nr Camere,Suprafata,Etaj,Total Etaje,Sector,Scor,Pret
2,38,0,4,3,4,34900
3,55,1,11,1,1,95370
2,50,2,3,4,5,46150
2,55.45,5,5,2,3,58100
3,90,1,7,2,5,73715
3,87,4,8,2,3,75000
3,60.03,3,9,6,4,70952
4,85,4,4,4,5,58000
3,62,2,4,1,4,79000
4,87,1,3,4,2,129000
2,58,2,11,4,5,59000
2,57,1,4,4,5,53000
2,50.37,5,11,4,5,58000
2,38.85,1,6,4,5,34965
2,60,2,7,4,5,57000
2,59,1,1,1,4,79650
2,48,1,2,3,4,54800
3,88,1,6,1,2,98000
3,77.11,1,9,2,1,161626
2,56.5,1,5,1,1,112992
3,77.49,0,5,1,2,140000
4,205,6,7,3,2,248000
3,110,9,17,3,2,165000
3,94,3,3,3,2,142800
2,60,1,3,2,3,52000
3,104.26,1,11,1,1,238000
2,65,8,10,3,2,103000
2,54,0,5,4,5,54900
2,69,3,3,2,3,89000
3,115,10,11,2,1,150000
1,35.75,1,3,3,2,63900
3,80,1,3,1,1,159000
2,60,2,3,4,5,69500
2,55,1,4,4,5,61000
3,85.41,5,5,1,1,96500
3,72,1,11,1,1,123219
3,88,2,6,4,5,63900
2,55,1,3,3,4,62600
3,79,1,8,3,2,139990
2,64.55,1,5,3,2,80687
2,64,3,6,1,2,119500
2,60,3,4,6,4,59629
3,94.8,1,10,1,2,115000
3,107,6,10,1,2,124000
4,130,2,5,1,2,80000
3,112,3,8,4,5,87000
2,47,2,3,5,5,39995
2,79.03,5,13,1,1,215000
2,63,2,8,4,5,57000
2,51,0,2,2,5,46000
2,32,4,8,3,4,40800
3,139,2,6,1,2,290000
3,71,4,8,3,4,80000
3,85,5,6,6,4,71000
2,46,2,4,2,3,59500
3,67,10,10,3,4,67000
2,58,2,3,2,2,76779
3,67,2,4,1,2,142000
3,53,0,4,4,5,52900
2,52,1,4,4,5,43100
2,50,2,10,3,4,60000
3,105,6,10,2,5,99000
4,156,3,4,1,1,275000
2,51,8,10,6,4,48500
2,68.64,7,7,1,1,125000
2,50,2,5,3,4,42500
2,47,5,11,3,4,68500
3,82.49,6,11,1,1,150000
3,72.03,5,7,1,1,140000
2,55,3,9,3,4,75400
2,56,0,4,2,3,42500
3,75,0,3,4,5,97000
1,37,0,3,3,4,34900
3,72.1,3,3,6,4,69000
3,72,3,3,4,5,73000
3,118,0,2,3,4,110250
3,91.8,1,5,3,2,114750
3,88,0,2,3,4,105000
3,76.3,1,10,1,1,161958
2,54,1,3,1,1,72000
3,63.5,3,6,2,3,65000
2,54,2,11,4,5,56000
2,44,3,3,4,5,56000
3,90,3,3,3,4,95000
3,110,2,4,1,2,170000
3,84,2,5,4,5,68100
1,35.1,5,11,6,4,45000
2,55,2,9,3,4,77400
2,51,1,5,3,4,93000
2,57,0,10,5,5,64800
2,57.23,2,5,1,1,66000
2,39.55,5,10,1,1,78000
3,79,3,4,4,5,73000
1,35.86,11,11,1,2,60000
2,51,1,10,3,4,69950
3,86,4,5,1,2,81383
2,54,3,5,4,5,45505
2,56,4,4,1,1,109000
2,40,4,6,6,4,44900
2,58,0,2,2,3,61000
2,50,4,9,6,4,51000
3,80,1,8,3,2,170500
2,48,2,4,6,5,60900
3,95,2,2,1,2,144000
3,72,3,8,4,2,109900
3,130.26,2,7,1,1,172000
3,88,2,7,3,4,97000
3,112,1,1,6,4,197154
3,70,7,8,4,5,75000
3,65,3,4,6,4,64500
1,47.22,-1,2,2,2,54900
2,49.72,1,4,1,1,125000
3,74.2,3,3,6,4,59800
2,54,4,4,1,1,118000
4,110,4,6,3,2,209000
2,67.13,6,8,6,4,77000
3,86,3,4,6,4,86700
2,40,0,2,3,4,38500
2,56.57,0,5,6,4,64300
2,55,4,5,3,2,61500
3,64.85,4,8,1,1,94500
1,30,2,2,1,2,55000
2,53,1,2,3,4,50500
4,111,11,11,1,1,210931
2,56,1,4,3,4,85000
2,49,9,10,4,5,46000
3,79.64,5,7,1,1,100000
1,33,0,10,6,4,29499
2,50.22,3,7,6,4,51500
2,51,4,10,2,3,71000
3,84,1,4,5,1,122000
1,36,4,10,1,1,40900
3,98,1,5,4,2,150000
2,48,2,10,3,4,67000
3,155,1,5,2,1,360000
4,116,13,17,6,4,121000
7,210,0,4,1,2,299900
1,39.13,0,10,1,4,49500
3,100,6,8,3,2,167000
2,45,0,4,1,4,51500
3,68,1,8,3,4,76900
3,67,3,4,6,4,67000
2,56,5,10,3,4,79800
